Waypoint_Timestamp_ns,AI_Inference_Latency_ms
1761115523843815388,283.98
1761115524129914362,270.37
1761115524402860209,261.75
1761115524666243733,254.78
1761115524916834874,240.47
1761115525148287610,221.93
1761115525391358092,231.23
1761115525659797712,257.55
1761115525929093364,260.73
1761115526229666401,288.29
1761115526507394334,261.56
1761115526739196612,220.04
1761115526997608045,241.93
1761115527324652918,316.51
1761115527653784531,317.45
1761115527951902485,288.00
1761115528253712266,280.98
1761115528527358044,257.92
1761115528775439426,235.30
1761115529043378790,256.57
1761115529336709093,279.21
1761115529573035934,227.54
1761115529827732471,229.33
1761115530034450339,195.34
1761115530323938708,282.58
1761115530630529666,297.80
1761115530985564696,346.26
1761115531315284021,314.62
1761115531565062170,241.49
1761115531805851736,231.10
1761115532058207719,238.87
1761115532322104733,255.83
1761115532590016790,254.95
1761115532814412678,209.15
1761115533066367474,243.79
1761115533335735772,259.67
1761115533631800945,275.41
1761115533949642186,304.11
1761115534265612296,305.11
1761115534564183832,287.83
1761115534809416367,231.99
1761115535026314473,207.78
1761115535280397894,241.59
1761115535521141006,231.97
1761115535799622058,265.85
1761115536096002597,276.37
1761115536375905165,272.19
1761115536672865189,285.93
1761115536978945528,289.64
1761115537277995372,284.32
1761115537622897692,328.83
1761115537966092894,335.47
1761115538240632906,268.29
1761115538617888687,362.29
1761115538912660475,281.54
1761115539197956715,276.86
1761115540106066894,891.38
1761115542301940908,2009.91
1761115543671112448,1297.89
1761115544343577998,533.74
