Timestamp (Taiwan),Latency (ms)
2025-08-26 13:59:22.210,1756187846902.8345
2025-08-26 13:59:22.223,1756187846879.2363
2025-08-26 13:59:22.252,1756187846880.738
2025-08-26 13:59:22.283,1756187846875.7046
2025-08-26 13:59:22.319,1756187846879.3718
2025-08-26 13:59:22.345,1756187846873.4011
2025-08-26 13:59:22.379,1756187846871.5676
2025-08-26 13:59:22.413,1756187846873.0574
2025-08-26 13:59:22.444,1756187846872.4397
2025-08-26 13:59:22.480,1756187846872.2117
2025-08-26 13:59:22.519,1756187846879.5557
2025-08-26 13:59:22.544,1756187846872.5713
2025-08-26 13:59:22.579,1756187846871.3914
2025-08-26 13:59:22.611,1756187846871.9639
2025-08-26 13:59:22.644,1756187846872.523
2025-08-26 13:59:22.678,1756187846870.985
2025-08-26 13:59:22.711,1756187846871.4246
2025-08-26 13:59:22.744,1756187846872.1538
2025-08-26 13:59:22.785,1756187846873.1787
2025-08-26 13:59:22.812,1756187846872.541
2025-08-26 13:59:22.843,1756187846871.5789
2025-08-26 13:59:22.882,1756187846870.3965
2025-08-26 13:59:22.914,1756187846874.6057
2025-08-26 13:59:22.941,1756187846869.9646
2025-08-26 13:59:22.979,1756187846871.643
2025-08-26 13:59:23.013,1756187846869.334
2025-08-26 13:59:23.044,1756187846872.0415
2025-08-26 13:59:23.082,1756187846874.147
2025-08-26 13:59:23.111,1756187846871.2083
2025-08-26 13:59:23.151,1756187846875.7874
2025-08-26 13:59:23.187,1756187846879.6301
2025-08-26 13:59:23.214,1756187846874.741
2025-08-26 13:59:23.250,1756187846874.5454
2025-08-26 13:59:23.282,1756187846874.0054
2025-08-26 13:59:23.319,1756187846875.8413
2025-08-26 13:59:23.351,1756187846879.0945
2025-08-26 13:59:23.385,1756187846877.0225
2025-08-26 13:59:23.416,1756187846876.887
2025-08-26 13:59:23.452,1756187846880.217
2025-08-26 13:59:23.485,1756187846877.3623
2025-08-26 13:59:23.516,1756187846876.9434
2025-08-26 13:59:23.550,1756187846878.3926
2025-08-26 13:59:23.584,1756187846876.9495
2025-08-26 13:59:23.623,1756187846883.5454
2025-08-26 13:59:23.651,1756187846879.243
2025-08-26 13:59:23.684,1756187846876.502
2025-08-26 13:59:23.719,1756187846879.7915
2025-08-26 13:59:23.753,1756187846881.068
2025-08-26 13:59:23.787,1756187846879.0168
2025-08-26 13:59:23.819,1756187846879.9033
