jetson_ts,recv_ts,mqtt_latency,px4_ack_ts,push_latency,total_latency
1761893902.4815204,1761893902.7837155,0.30219507217407227,1761893902.8227732,0.03619837760925293,0.34125280380249023
1761893902.8459947,1761893902.8785117,0.0325169563293457,1761893902.9024966,0.020442485809326172,0.05650186538696289
1761893903.2074616,1761893903.549561,0.3420994281768799,1761893903.5883925,0.03533363342285156,0.38093090057373047
1761893903.5746493,1761893903.6459131,0.07126379013061523,1761893903.689794,0.040804147720336914,0.11514472961425781
1761893903.907158,1761893904.2476406,0.3404827117919922,1761893904.2986455,0.04902458190917969,0.39148759841918945
1761893904.2391827,1761893904.3017678,0.06258511543273926,1761893904.3422217,0.03806591033935547,0.10303902626037598
1761893904.6030753,1761893904.6386957,0.03562045097351074,1761893904.7053955,0.061903953552246094,0.10232019424438477
1761893904.9724414,1761893905.005155,0.03271365165710449,1761893905.096623,0.0893559455871582,0.12418150901794434
1761893905.3369744,1761893905.3726459,0.03567147254943848,1761893905.4293246,0.054267168045043945,0.09235024452209473
1761893905.722346,1761893905.7559178,0.033571720123291016,1761893905.8211298,0.06258130073547363,0.09878373146057129
1761893906.0851269,1761893906.1211193,0.03599238395690918,1761893906.228229,0.09840035438537598,0.14310216903686523
1761893906.4480484,1761893906.4819396,0.03389120101928711,1761893906.5608065,0.07481765747070312,0.11275815963745117
1761893906.8208883,1761893906.855367,0.03447866439819336,1761893906.9262373,0.06867694854736328,0.10534906387329102
1761893907.1850867,1761893907.2200696,0.034982919692993164,1761893907.2888758,0.06411576271057129,0.10378909111022949
1761893907.5506516,1761893907.5860496,0.035398006439208984,1761893907.6703646,0.08222484588623047,0.11971306800842285
1761893907.9184902,1761893907.9533834,0.03489327430725098,1761893908.076974,0.12174344062805176,0.15848374366760254
1761893908.2822406,1761893908.3167498,0.03450918197631836,1761893908.377209,0.05826544761657715,0.09496831893920898
1761893908.6504714,1761893908.6846936,0.03422212600708008,1761893908.806425,0.11829829216003418,0.15595364570617676
1761893909.0156848,1761893909.0506907,0.035005807876586914,1761893909.1855705,0.13209247589111328,0.16988563537597656
1761893909.3783762,1761893909.4144151,0.036038875579833984,1761893909.5119326,0.09517025947570801,0.13355636596679688
